nome;kcal;proteine;carboidrati;grassi
"Mele, fresche, golden";46;0,4;10,7;0,1
"Mele, fresche, granny smith";42;0,5;9,4;0,1
"Mele, fresche, imperatore";48;0,2;11,3;0,1
"Mele, fresche, renette";43;0,3;10;0,1
"Mele, fresche, senza buccia";57;0,3;13,7;0,1
"Melone, d'estate, fresco";34;0,8;7,4;0,2
"Melone, d'inverno, fresco";24;0,5;4,9;0,2
Melù o pesce molo;72;17,4;tr;0,3
"Melù o pesce molo, stoccafisso, ammollato";92;20,7;0,3;0,9
"Melù o pesce molo, stoccafisso, secco";356;80,1;1,1;3,5
"Menta, fresca";49;3,8;5,3;0,7
"Merendine, con marmellata, industriale";364;5,5;67,9;9,5
"Merendine, farcite con cacao, industriale";410;6,2;65,5;15,1
"Merendine, tipo briosche, industriale";440;8,2;65,7;17,6
"Merendine, tipo pan di Spagna, industriale";386;7,4;62,7;13,1
"Merendine, tipo pasta frolla, industriale";447;5,3;71,7;17,1
Merluzzo in umido;86;9,7;1,7;4,3
Merluzzo o nasello;71;17;;0,3
"Merluzzo o nasello, baccalà, ammollato";95;21,6;;1
"Merluzzo o nasello, baccalà, secco";131;29;;1,7
"Merluzzo o nasello, bastoncini di pesce, surgelati";191;11;15;10,1
"Merluzzo o nasello, surgelato";75;17,3;;0,6
"Merluzzo o nasello, surgelato, cotto, al microonde";107;24,8;;0,9
"Merluzzo o nasello, surgelato, cotto, in forno";78;17,5;;0,9
"Merluzzo o nasello, surgelato, filetti";68;15,6;;0,6
Miele;304;0,6;80,3;
Miglio;343;11,8;64,9;3,9
"Miglio, decorticato";342;11;67,8;4,2
Milza di bovino;107;18,5;;3,7
"Minestre in scatola, crema di asparagi";26;1;4,2;0,7
"Minestre in scatola, crema di cipolle";26;2,2;2,2;1
"Minestre in scatola, crema di funghi";56;1;4,2;4
"Minestre in scatola, crema di pollo";58;1,7;4,5;3,8
"Minestre in scatola, crema di pomodori";36;0,8;6,4;1
Minestrone liofilizzato;298;10,1;47,6;8,8
"Minestrone, cotto";45;2;7,8;0,4
"Mirtilli, freschi";49;0,9;10,1;0,2
Mora di rovo;42;1,3;8,1;tr
Mormora;97;18;2;1,9
Mortadella Bologna IGP;288;15,7;tr;25
Mortadella di bovino e suino;388;13,3;0,5;37
Mozzarella di bufala;288;16,7;0,4;24,4
Mozzarella di bufala campana DOP;257;14,1;1,4;21,7
Mozzarella di vacca;253;18,7;0,7;19,5
Muesli;374;9,7;71,7;6
Nachos;512;6,5;63,8;26,1
"Nespole, fresche";32;0,4;6,1;0,4
"Nocciole, secche";671;13,8;6,1;64,1
Noci;589;10,5;5,5;57,7
Noci pecan;723;7,2;7,9;71,8
"Noci, secche";702;14,3;5,1;68,1
Nuvole di gamberi;559;0,8;57;38
"Oca, crudo";373;15,8;;34,4
Occhiata;117;19;2;3,7
Olii vegetali;899;;;99,9
Olio di arachide;899;;;99,9
Olio di cocco;899;;;99,9
Olio di colza;899;;;99,9
Olio di fegato di merluzzo;899;;;99,9
Olio di germe di grano;899;;;99,9
Olio di girasole;899;;;99,9
Olio di mais;899;;;99,9
Olio di mandorle dolci;899;;;99,9
Olio di oliva;899;;;99,9
Olio di oliva extra vergine;899;;;99,9
Olio di palma;899;;;99,9
Olio di sesamo;899;;;99,9
Olio di soia;899;;;99,9
Olio di vinacciolo;899;;;99,9
Oliva Giarraffa;192;1,4;0,19;20
Oliva Nocellara del Belice;211;1,4;0,06;22,1
Olive da tavola conservate;277;1,5;5;27
"Olive, nere";243;1,6;0,8;25,1
"Olive, verdi";148;0,8;1;15
"Olive, verdi, in salamoia";113;1,2;1;11
"Orata fresca d'allevamento, filetti";159;19,7;1,2;8,4
"Orata fresca, filetti";121;20,7;1;3,8
"Orata, surgelata";94;19,8;1;1,2
Orzo perlato;346;9,4;73,7;1,5
"Orzo perlato, cotto, bollito";118;2,6;26,4;0,6
Ostrica;69;10,2;5,4;0,9
Pagello;101;21;;1,9
Pagello bocca d'oro;118;20;3;3
Palombo;80;16;1,3;1,2
Pan di Spagna;275;10,1;49,7;5,1
Pancetta arrotolata;530;15,1;tr;52,2
Pancetta magretta;314;21,7;;25,3
Pancetta tesa;337;20,9;;28,1
Pane al malto;278;8,3;56,6;2,4
Pane azzimo;365;10,7;81,7;1
Pane bianco;268;8,1;59,5;0,5
Pane di segale;228;8,3;45,4;1,7
